week;term;definition_b1;collocation_1;collocation_2;ua;source_sentence;added_at
w03;context-rich;providing a lot of useful background information and clear details;context-rich conversation;context-rich prompt;"насичений контекстом; інформативний";Description goes beyond just writing prompts. It's about having detailed, context-rich conversations that establish what you're hoping to achieve, the format of the output, how you want the AI to approach the task, the context and information that the AI might need to best work with you on this task, and the tone and style of interaction.;2026-09-09
w03;articulate;to express an idea, thought, or feeling clearly in words;articulate your vision;articulate needs clearly;"чітко формулювати; висловлювати";Effective description means articulating your needs and vision in a way that sets up both you and the AI for the greatest collaborative success.;2026-09-09
w03;align with;to match or agree with specific goals, standards, or values;align with values;align with goals;"узгоджуватися з; відповідати";Does the reasoning make sense? Do the recommendations align with your brand values and audience?;2026-09-09
w03;refinement;the process of making small changes to improve something;need refinement;continuous refinement;"доопрацювання; покращення; вдосконалення";Discernment draws upon your own expertise in a domain and requires developing the judgment and critical insight to separate what's useful from what's not, and to recognize when AI outputs need refinement or should be set aside entirely.;2026-09-09
w03;set aside;to decide not to use or consider something;set aside completely;set aside an idea;"відкласти вбік; відмовитися від використання";Discernment draws upon your own expertise in a domain and requires developing the judgment and critical insight to separate what's useful from what's not, and to recognize when AI outputs need refinement or should be set aside entirely.;2026-09-09
w03;fairness;treating people equally and without unfair advantage;ensure fairness;check for fairness;"справедливість; неупередженість";For example, if you are using AI to help write job descriptions or review applications, how are you ensuring fairness and controlling for potential biases?;2026-09-09
w03;bias;an unfair preference or prejudice for or against something;potential bias;unconscious bias;"упередженість; викривлення";For example, if you are using AI to help write job descriptions or review applications, how are you ensuring fairness and controlling for potential biases?;2026-09-09
w03;transparency;being open, clear, and honest about how something is done;ensure transparency;maintain transparency;"прозорість; відкритість";Have you considered how to be transparent about the involvement of AI?;2026-09-09
w03;stand behind;to support and take full responsibility for a product or decision;stand behind results;stand behind final products;"ручатися за; нести відповідальність за";Diligence means taking ownership of your AI-assisted work and being willing to stand behind final products created using AI.;2026-09-09
w04;under the hood;how something works behind the scenes or internally;look under the hood;work under the hood;"під капотом; зсередини (як це влаштовано)";In this video, we'll dive into what generative AI actually is, how it works under the hood, and the technological breakthroughs that made these systems possible.;2026-09-09
w04;breakthrough;an important discovery or development that helps solve a problem;technological breakthrough;major breakthrough;"прорив; значне досягнення";In this video, we'll dive into what generative AI actually is, how it works under the hood, and the technological breakthroughs that made these systems possible.;2026-09-09
w04;prominent;very well known, important, or easy to notice;prominent type;prominent example;"помітний; провідний; визначний";Large language models, or LLMs, like Anthropic's Claude models, are a prominent type of generative AI.;2026-09-09
w04;game changer;something that completely changes the way a situation develops;real game changer;proven game changer;"переломний момент; те, що докорінно змінює правила гри";While neural networks have been around conceptually for decades, the development of the transformer architecture in 2017 was a game changer.;2026-09-09
w04;vast;extremely large in size, amount, or area;vast amounts;vast tapestry;"величезний; безмежний";This vast tapestry of information helps models develop a broad and nuanced understanding of both language and concepts.;2026-09-09
w04;scaling laws;rules showing how AI improves predictably with more data and computing power;follow scaling laws;discover scaling laws;закони масштабування;The combination of these three factors led to an important discovery known as the scaling laws.;2026-09-09
w04;emergent;appearing unexpectedly as a complex system grows larger;emergent capabilities;emergent abilities;"емерджентний; такий, що несподівано виникає при масштабуванні";More surprisingly, researchers found that entirely new capabilities began to emerge as these models grew larger.;2026-09-09
w04;pre-training;the initial training phase where a model learns language patterns from huge data;initial pre-training;during pre-training;попереднє навчання (базова підготовка моделі);During initial training, also called pre-training, LLMs like Claude analyze patterns across billions of text examples.;2026-09-09
w04;fine-tuning;additional training that teaches a model to follow instructions and be helpful;undergo fine-tuning;model fine-tuning;тонке доналаштування (моделі під завдання);After pre-training, models undergo additional training called fine-tuning, where they learn to follow instructions, provide helpful responses, and, importantly, avoid generating harmful content.;2026-09-09
w04;reinforcement learning;a training method that uses rewards and penalties to guide AI behavior;apply reinforcement learning;use reinforcement learning;навчання з підкріпленням;This often involves human feedback to improve the model's performance, as well as reinforcement learning, which uses rewards and penalties to shape the model's behavior toward being more helpful, honest, and harmless.;2026-09-09
w04;context window;the maximum amount of text an AI model can remember during a conversation;larger context window;current context window;контекстне вікно (робоча пам'ять моделі);There's also a practical limit to how much information an LLM can consider at once, known as the context window.;2026-09-09
w04;in-context learning;the ability of an AI to learn new tasks directly from prompt examples;in-context learning ability;support in-context learning;навчання в контексті (прямо з промпту);Second, its in-context learning ability.;2026-09-09
w05;condense;to make text or speech shorter by keeping only the most important parts;condense reports;condense information;"стискати; скорочувати";They're skilled with language in ways that seemed impossible just a few years ago: crafting emails that capture your voice, condensing lengthy reports into clear summaries, translating between languages, and explaining complex topics across countless fields, from microbiology to marketing strategy.;2026-09-09
w05;knowledge cutoff;the specific date after which an AI model has no information about the world;knowledge cutoff date;reach the knowledge cutoff;дата зрізу знань (моделі);LLMs have a knowledge cutoff date based on when they were trained, the point after which they have no innate knowledge of the world.;2026-09-09
w05;innate;existing naturally or built inside from the start;innate knowledge;innate ability;"вроджений; закладений від початку";LLMs have a knowledge cutoff date based on when they were trained, the point after which they have no innate knowledge of the world.;2026-09-09
w05;hallucination;a situation where an AI confidently generates plausible-sounding but false information;prevent hallucinations;produce a hallucination;галюцинація (неправдива інформація від ШІ);This leads to what is often called a hallucination: AI confidently stating something that sounds plausible but is actually incorrect.;2026-09-09
w05;plausible;seeming likely to be true, believable, or reasonable;sounds plausible;plausible explanation;"правдоподібний; переконливий на вигляд";This leads to what is often called a hallucination: AI confidently stating something that sounds plausible but is actually incorrect.;2026-09-09
w05;non-deterministic;producing slightly different results each time given the same input;non-deterministic behavior;non-deterministic output;недетермінований (ймовірнісний, не завжди однаковий);Furthermore, unlike traditional software that produces identical outputs given the same inputs, LLMs are somewhat unpredictable by default, also known as non-deterministic.;2026-09-09
w05;temperature;a setting that controls how random or creative an AI output is;lower the temperature;temperature setting;температура (параметр випадковості/креативності);This setting is often referred to as temperature.;2026-09-09
w05;extended-thinking;a model capability that performs step-by-step reasoning before answering;extended-thinking models;support extended thinking;поглиблене мислення / покрокове міркування;The good news is that newer reasoning or extended-thinking models, specifically designed to think step by step, are showing strong progress in these areas.;2026-09-09
w05;retrieval-augmented;connecting a language model to external live databases or documents to find facts;retrieval-augmented generation;retrieval-augmented system;доповнений пошуком (RAG);Researchers are working to address current limitations through techniques like retrieval-augmented generation, which connects models to external knowledge and data sources, as well as expanding their ability to use tools and improving their reasoning capabilities.;2026-09-09
w05;foreseeable;able to be predicted or expected in the near future;foreseeable future;foreseeable problems;"осяжний; передбачуваний";That said, some limitations will likely remain for the foreseeable future, even if we don't know exactly what those limitations will be.;2026-09-09
w05;leverage;to use something to its maximum advantage;leverage strengths;leverage capabilities;"ефективно використовувати; задіювати переваги";The most effective applications will leverage the complementary strengths of humans and AI.;2026-09-09
w05;stay abreast of;to stay informed about the latest news, changes, or developments;stay abreast of changes;stay abreast of trends;"бути в курсі; не відставати від новин/змін";They help you stay abreast of these changes and discover new possibilities.;2026-09-09
w06;nuanced;having small and subtle but important differences in meaning or approach;nuanced understanding;surprisingly nuanced;"тонкий; сповнений важливих нюансів";That might sound simple, but it's surprisingly nuanced.;2026-09-09
w06;cornerstone;something of basic and fundamental importance upon which everything else depends;cornerstone of success;cornerstone of delegation;"наріжний камінь; фундаментальна основа";The cornerstone of good delegation isn't actually about AI at all.;2026-09-09
w06;time-consuming;taking a lot of time and effort to complete;time-consuming task;time-consuming process;"трудомісткий; такий, що забирає багато часу";Are there areas that are simple but time-consuming?;2026-09-09
w06;intervention;action taken to become intentionally involved in a situation to improve it;human intervention;require intervention;"втручання; пряма участь людини";You'll struggle to effectively work with AI assistants, evaluate their outputs, or know when human intervention is necessary.;2026-09-09
w06;problem awareness;clearly understanding your project goals and work requirements before using AI;develop problem awareness;lack problem awareness;розуміння проблеми / суті завдання;We call this first concept problem awareness: the ability to clearly define your goals and understand what work is needed before bringing AI into the picture.;2026-09-09
w06;platform awareness;working knowledge of available AI systems and their specific strengths and limits;build platform awareness;require platform awareness;розуміння можливостей платформ (моделей/інструментів);We call this second concept platform awareness: a working knowledge of available AI systems and their specific capabilities and limitations.;2026-09-09
w06;task delegation;the strategic process of dividing work between humans and AI systems;effective task delegation;strategic task delegation;делегування завдань (стратегічний розподіл роботи);We call this third concept task delegation: the strategic process of dividing work between humans and AI.;2026-09-09
w06;prioritize;to treat something as more important than other things;prioritize speed;prioritize accuracy;"надавати пріоритет; виділяти головне";Do you know which AI systems prioritize speed over depth, or accuracy over creativity?;2026-09-09
w06;distribute;to divide and share tasks or resources among different people or systems;distribute tasks;distribute work thoughtfully;розподіляти;Once you understand both your problem and the available AI assistance, the real art of delegation emerges: thoughtfully distributing work between human and artificial intelligence to leverage the unique strengths of each.;2026-09-09
w06;exclusively;only and completely, without sharing with anyone or anything else;reserved exclusively;exclusively human;"виключно; суто";Are there critical judgment areas that should remain exclusively human and shouldn't be delegated at all?;2026-09-09
w06;hand over the wheel;to surrender total control and responsibility to someone or something else;hand over the wheel;not hand over the wheel;"відпустити кермо; повністю віддати контроль";Effective AI collaboration isn't about handing over the wheel and calling it a day.;2026-09-09
w06;call it a day;to stop working or conclude that a task is finished;call it a day;ready to call it a day;"вважати справу завершеною; закінчувати роботу";Effective AI collaboration isn't about handing over the wheel and calling it a day.;2026-09-09
w07;substantial;large in size, value, importance, or amount;substantial project;substantial progress;"значний; ґрунтовний; вагомий";Substantial enough to involve multiple types of tasks;2026-09-09
w07;manageable;easy or possible to control, organize, or accomplish;manageable task;manageable pieces;"здійсненний; посильний для виконання";Manageable enough to complete within about 1 hour of work;2026-09-09
w07;compelling;attracting strong interest, attention, or admiration;compelling presentation;compelling argument;"переконливий; захоплюючий; вражаючий";Create a compelling presentation on a topic you're knowledgeable about;2026-09-09
w07;pitch;a short speech or presentation designed to persuade someone to accept an idea;make a pitch;project pitch;"пітч; коротка презентація ідеї";Develop a proposal or pitch for an idea you'd like to pursue;2026-09-09
w07;pursue;to work hard to achieve or follow a goal over a period of time;pursue an idea;pursue a goal;"реалізовувати; переслідувати (мету)";Develop a proposal or pitch for an idea you'd like to pursue;2026-09-09
w07;emerging;starting to exist, develop, or become prominent and known;emerging technology;emerging trends;"нова / новітня (технологія); та, що активно з'являється";Research and summarize the current state of an emerging technology or trend;2026-09-09
w07;breakdown;a detailed division of something into smaller parts for analysis;task breakdown;detailed breakdown;"розбивка (на складові); деталізація";Task breakdown and delegation analysis;2026-09-09
w07;through the lens of;examining or analyzing a situation from a specific viewpoint;through the lens of;look through the lens;крізь призму (чогось);Similar to what you did in the previous lesson, work with Claude to explore your project through the lens of Delegation:;2026-09-09
w07;challenge assumptions;to question whether beliefs or ideas are truly correct or justified;challenge assumptions;challenge existing assumptions;ставити під сумнів припущення;Challenge assumptions, ask for clarification, and remain open to unexpected insights that emerge during your discussion.;2026-09-09
w07;clarification;the act of making something clearer or easier to understand;ask for clarification;provide clarification;"уточнення; роз'яснення";Challenge assumptions, ask for clarification, and remain open to unexpected insights that emerge during your discussion.;2026-09-09
w07;anticipate;to imagine or expect that something will happen and prepare for it;anticipate challenges;anticipate problems;"передбачати; очікувати";What do you anticipate will be the most challenging aspect of your delegation plan?;2026-09-09
w07;specify;to state or describe something clearly, precisely, and in detail;specify requirements;specify details;"чітко вказувати; деталізувати";This includes techniques for defining what you want, guiding how the AI approaches the task, and specifying how you want the AI to interact with you throughout the process.;2026-09-09
w08;intention;an aim, purpose, or plan that you want to achieve;clear intention;communicate intentions;"намір; мета; задум";Understand how to effectively communicate your intentions to AI systems;2026-09-09
w08;steer;to guide or control the direction of a conversation or process;steer a conversation;steer in the right direction;"скеровувати; спрямовувати (діалог)";It's about being able to steer a conversation that is going wrong.;2026-09-09
w08;product description;the clear definition of what you want the AI to create or provide;clear product description;define product description;опис результату / продукту (що створити);We call this first concept product description: the ability to clearly define what you want the AI to create or provide.;2026-09-09
w08;tackle;to make a determined effort to deal with a difficult problem or task;tackle a job;tackle a problem;"братися за (справу); вирішувати завдання";Sometimes specifying how an AI should tackle a job is as, or even more, important than specifying the end goal.;2026-09-09
w08;process description;guiding the exact method, steps, and approach an AI should use;provide process description;detailed process description;опис процесу / методу (як виконувати);We call this second concept process description: the ability to guide how the AI assistant approaches your request.;2026-09-09
w08;draw on;to use information, knowledge, or experience to help you achieve something;draw on data;draw on experience;"спиратися на; задіювати (дані/знання)";Are there specific data you want the AI to draw on?;2026-09-09
w08;tremendous;extremely good, large, important, or effective;tremendous difference;tremendous impact;"величезний; колосальний";Taking time to explain these elements makes a tremendous difference.;2026-09-09
w08;vending machine;an automatic machine that drops items after money is inserted, used metaphorically for non-collaborative tools;treat as a vending machine;not a vending machine;торговельний автомат (метафора пасивного інструменту);If you take one thing from this course, it should be this: AI tools are not databases or vending machines.;2026-09-09
w08;follow your lead;to accept someone's direction and do what they do or say;follow someone's lead;simply follow your lead;"іти за вашим прикладом / вказівками; слідувати за вами";Do you want the AI to challenge your assumptions or simply follow your lead?;2026-09-09
w08;performance description;defining the behavioral style, persona, and tone of an AI interaction;set performance description;define performance description;опис стилю поведінки / взаємодії (як поводитися);We call this third concept performance description: the ability to define the behavioral aspects of an AI interaction.;2026-09-09
w08;finely tuned;adjusted very carefully and precisely to work at maximum effectiveness;finely tuned partner;finely tuned system;"тонко налаштований; відкалібрований";When you develop your capacity for description, you transform AI from generic assistants into finely tuned thinking partners that can truly meet your needs.;2026-09-09
w08;makeover;a set of changes that significantly improves the appearance or quality of something;prompt makeover;complete makeover;"перевтілення; повне оновлення / покращення";Bad Prompt Makeover;2026-09-09
w09;prompt engineering;the practice of designing clear and effective instructions for AI systems;master prompt engineering;apply prompt engineering;інженерія промптів (мистецтво складання інструкцій для ШІ);You might have heard the term prompt engineering tossed around.;2026-09-09
w09;emulate;to copy or follow the style or behavior of an example;emulate examples;emulate patterns;"наслідувати; відтворювати за зразком";This is sometimes called few-shot prompting or n-shot prompting in technical circles, where n is the number of examples given, but it's really just about showing the AI examples for it to emulate.;2026-09-09
w09;few-shot prompting;providing one or more sample input-output pairs in the prompt;use few-shot prompting;few-shot prompting technique;промптинг з кількома прикладами (few-shot);This is sometimes called few-shot prompting or n-shot prompting in technical circles, where n is the number of examples given, but it's really just about showing the AI examples for it to emulate.;2026-09-09
w09;chain-of-thought;a prompting method where the AI explains its step-by-step reasoning;chain-of-thought prompting;trigger chain-of-thought;ланцюжок міркувань (покроковий хід думок);Listing out task steps ensures that Claude follows the process you want in order to accomplish its task. This is sometimes called chain-of-thought prompting.;2026-09-09
w09;go astray;to become lost, wander off topic, or make unintended mistakes;go astray;prevent going astray;"збитися зі шляху; піти не в той бік";As a side benefit, this also allows you to better see where the AI assistant might be going astray and thus where you could hone your description competency further by providing more guidance.;2026-09-09
w09;hone;to sharpen, refine, or improve a skill over time;hone skills;hone description competency;"відточувати; вдосконалювати (навички)";As a side benefit, this also allows you to better see where the AI assistant might be going astray and thus where you could hone your description competency further by providing more guidance.;2026-09-09
w09;persona;a specific role, personality, or character adopted for an interaction;adopt a persona;expert persona;"персона; рольовий образ";You can specify a general role or even ask Claude to take on the persona of a specific figure, such as Richard Feynman, when asking for physics explanations.;2026-09-09
w09;secret weapon;a particularly effective method, tool, or advantage that is not widely recognized;secret weapon;use as a secret weapon;секретна зброя (прихована сильна перевага);These six principles, together with the secret weapon of asking Claude for help, form a solid toolkit for applying the description competency to your AI interactions.;2026-09-09
w09;iterative;involving repeated cycles of testing, learning, and improving;iterative process;iterative refinement;"ітеративний; покроково повторюваний";Effective prompting is iterative and experimental.;2026-09-09
w09;overload;to put too much work, information, or tasks onto someone or something;overload a prompt;overload the context;перевантажувати;Common mistakes to avoid are assuming that Claude can read your mind, overloading a single prompt or conversation with multiple unrelated tasks, being too vague about what success looks like, and not providing feedback on previous responses.;2026-09-09
w09;swift;happening very quickly, promptly, or without delay;swift improvement;swift progress;"швидкий; стрімкий";Iteration and practice here are the keys to swift improvement and mastery.;2026-09-09
w09;timeless;remaining valuable, true, and effective across all eras and generations;timeless principles;timeless communication;"вічний; позачасовий; актуальний завжди";To recap, effective communication with AI systems like Claude combines timeless human communication principles with AI-specific techniques.;2026-09-09
w10;discernment;the ability to judge well and evaluate quality critically;develop discernment;exercise discernment;"проникливість; критична оцінка / судження";Discernment is specifically about evaluating AI outputs, processes, and behaviors—essentially, your quality control system for AI collaboration.;2026-09-09
w10;shortcoming;a fault, defect, or failure to meet a certain standard;typical shortcomings;identify shortcomings;"недолік; слабке місце";Doing this well requires both domain expertise—in other words, knowing enough to judge quality—and an understanding of how AI systems work, including their typical shortcomings.;2026-09-09
w10;safeguard;a protection against something undesirable, harmful, or risky;essential safeguard;act as a safeguard;"запобіжник; гарантія захисту";Your capacity for discernment acts as an essential safeguard.;2026-09-09
w10;product discernment;the ability to critically judge the factual accuracy and value of AI output;apply product discernment;practice product discernment;оцінка продукту / результату (наскільки якісним є вихідний матеріал);We call this first concept product discernment: the ability to judge the accuracy and value of AI-created output.;2026-09-09
w10;lapse;a temporary failure in concentration, memory, or quality;lapse in attention;memory lapse;"провал (уваги/пам'яті); тимчасова помилка";Some things to look out for include logical errors, lapses in the AI's attention, taking inappropriate steps, getting stuck on one small detail or interpretation and being unable to consider any alternatives, or getting trapped in circular reasoning.;2026-09-09
w10;circular reasoning;a logical error where an argument repeats its premise as the conclusion;trap in circular reasoning;avoid circular reasoning;замкнене коло в міркуваннях (хибна тавтологічна логіка);Some things to look out for include logical errors, lapses in the AI's attention, taking inappropriate steps, getting stuck on one small detail or interpretation and being unable to consider any alternatives, or getting trapped in circular reasoning.;2026-09-09
w10;process discernment;the ability to evaluate the steps, logic, and methodology the AI used;require process discernment;maintain process discernment;оцінка процесу (перевірка логіки та кроків ШІ);We call this kind of recognition process discernment: the ability to judge the quality and effectiveness of the AI's process.;2026-09-09
w10;in sync;working together harmoniously and sharing the same understanding;think in sync;stay in sync;"синхронно; узгоджено";It's needed to ensure you and the AI are thinking in sync throughout the process, guiding the AI toward your vision for success.;2026-09-09
w10;performance discernment;evaluating the behavioral quality and communication style of an AI interaction;exercise performance discernment;improve performance discernment;оцінка стилю взаємодії (наскільки зручно й ефективно ведеться діалог);We call this performance discernment: the ability to judge the quality of the human-AI interaction, which helps you shape more productive working engagement with AI systems.;2026-09-09
w10;revisit;to return to a topic, decision, or plan to re-examine or change it;revisit decisions;revisit assumptions;"переглядати; повертатися до розгляду";If you like, revisit Bad Prompt Makeover from the previous lesson to give these prompting principles a workout.;2026-09-09
w10;oversight;the responsibility of watching over something to ensure it is done correctly;human oversight;maintain oversight;"нагляд; контроль";Even the most advanced AI systems benefit from human judgment and oversight;2026-09-09
w10;flip side;the opposite, reverse, or complementary aspect of a situation;flip side of;on the flip side;"зворотний бік (медалі); доповняльна сторона";It's kind of the flip side of description. If description is about clearly communicating what you want, discernment is about deciding whether what you get back actually meets your needs.;2026-09-09
w11;feedback loop;a continuous cycle where output evaluations are used to adjust future inputs;productive feedback loop;continuous feedback loop;цикл зворотного зв'язку;Engage in productive Description-Discernment feedback loops;2026-09-09
w11;exceed;to be greater, larger, or better than an expected amount or limit;exceed expectations;exceed results;"перевершувати; перевищувати";Create results through human-AI collaboration that exceed what either could achieve alone;2026-09-09
w11;pull up;to open, retrieve, or display a file or document on a screen;pull up a plan;pull up files;"відкрити; підтягнути (файл/документ на екрані)";Pull up the project plan you created in Lesson 5;2026-09-09
w11;dive into;to start doing something enthusiastically or energetically without delay;dive into execution;dive into the project;зануритися у (виконання/роботу);Before diving into execution, plan how you'll approach Description:;2026-09-09
w11;expectation;a belief about what will happen or what someone should achieve;establish expectations;meet expectations;очікування;Discuss these questions with Claude to establish clear expectations for your collaboration.;2026-09-09
w11;refine;to improve something by making small and precise changes;refine your plan;refine outputs;"вдосконалювати; доопрацьовувати";Feel free to refine your plan based on what you've learned since then;2026-09-09
w11;integrate;to combine two or more things effectively to create a whole;integrate expertise;integrate systems;"інтегрувати; поєднувати";Integrate your own expertise and judgment:;2026-09-09
w11;discard;to get rid of something that is no longer useful or needed;discard ideas;modify or discard;"відкидати; позбуватися непотрібного";Make the final decisions about what to keep, modify, or discard;2026-09-09
w11;take responsibility;to accept personal accountability for an action, decision, or final outcome;take responsibility;take full responsibility;брати на себе відповідальність;Take responsibility for the final output;2026-09-09
w11;along the way;during the course of a process, journey, or period of time;learn along the way;adjustments along the way;"по ходу справи; у процесі (роботи)";What adjustments did you make along the way?;2026-09-09
w11;accountable;responsible for explaining one's decisions and bearing the consequences;hold accountable;remain accountable;"підзвітний; відповідальний";You'll learn how to ensure your AI collaborations are responsible, transparent, and accountable.;2026-09-09
w11;diligence;careful, thorough, and persistent effort to ensure quality, safety, and ethics;exercise diligence;due diligence;"сумлінність; належна обачність / перевірка";In the next lesson, we'll explore the final competency in the AI Fluency Framework: Diligence.;2026-09-09
w12;implication;a likely consequence or future effect of an action or decision;ethical implications;broader implications;"наслідок; підтекст; значення";Understand the ethical implications of AI collaboration;2026-09-09
w12;vacuum;a space entirely empty of matter, used metaphorically for isolated situations;exist in a vacuum;not in a vacuum;"вакуум; ізольоване середовище";Similarly, diligence recognizes that AI systems and our interactions with them don't exist in a vacuum.;2026-09-09
w12;creation diligence;being critical and intentional about which AI tools you use and data shared;practice creation diligence;creation diligence standards;обачність при створенні (вибір інструментів та захист даних);We call this type of diligence creation diligence.;2026-09-09
w12;disclosure;the act of making new or secret information known openly;expectations of disclosure;full disclosure;"розкриття інформації; відкрите повідомлення";Different settings—personal, academic, creative, and professional—may have different expectations of disclosure about AI interaction.;2026-09-09
w12;forthright;direct, honest, and outspoken in communication without hiding facts;forthright and honest;be forthright;"відвертий; прямий; чесний";Meeting expectations for transparency—in other words, being forthright and honest—isn't just about following rules and regulations.;2026-09-09
w12;transparency diligence;being open and accurate about AI's role in your work with stakeholders;exercise transparency diligence;commit to transparency diligence;обачність щодо прозорості (відкритість щодо ролі ШІ);We call this transparency diligence. It's the ability to be open and accurate about AI interaction with everyone who needs to know.;2026-09-09
w12;deployment diligence;taking full responsibility to verify and validate outputs before sharing them;apply deployment diligence;deployment diligence checklist;обачність при впровадженні / публікації (перевірка фактів та володіння результатом);We call this deployment diligence. It's the ability to take informed responsibility for the outputs that you use or share after they've been created with AI assistance.;2026-09-09
w12;stand behind;to support, guarantee, and take personal responsibility for a piece of work;stand behind your work;stand behind what you share;"ручатися за; стояти за (своїми словами/роботою)";This means verifying facts, checking for biases, ensuring accuracy and usage rights, and other checks needed so that you can stand behind what you share.;2026-09-09
w12;familiarize;to learn about something so that you understand it well;familiarize yourself with;familiarize with policies;"ознайомитися з; вивчити";And in professional contexts, familiarize yourself with organizational policies and industry standards.;2026-09-09
w12;diligence statement;a written disclosure acknowledging AI's role and affirming human responsibility;draft a diligence statement;include a diligence statement;заява про сумлінність / прозорість (декларація використання ШІ);In this exercise, you'll draft a diligence statement for the project you’ve been working on.;2026-09-09
